word,count
goes—mark,1
gravemakers,1
digg’d,1
outlives,1
asked,1
yaughan,1
jowls,1
circumvent,1
sexton’s,1
breeding,1
lawyer,1
quillets,1
dirty,1
buyer,1
recoveries,2
dirt,2
inheritor,1
undo,2
gravemaker,1
die—as,1
tann’d,1
whoreson,2
inch,2
likelihood,1
loam,3
converted,1
maimed,1
rites,4
retiring,1
enlarg’d,1
unsanctified,1
wonderwounded,1
eyelids,1
thou’lt,2
crocodile,1
leaping,1
singeing,1
rant,1
rashly,1
pall,1
unseal,1
exact,2
goblins,1
benetted,1
labour’d,1
gave’t,1
seafight,1
sequent,1
thinks’t,1
angle,1
remember—,1
feelingly,1
inventorially,1
dearth,2
concernancy,1
all’s,2
imputation,1
six,9
edified,1
passes,1
bevy,1
commended,1
whensoever,1
foolery,1
punish’d,1
cannons,1
napkin,1
woodcock,1
springe,1
stabs,1
aright,1
standing,2
conquest,2
occurrents,1
ambassador,1
slaughters,1
mistook,2
invite,1
captains,1
soldiers’,1
onethe,1
richard,143
download,9
education,1
editing,1
dollars,2
per,3
dollar,1
expected,1
users,1
promonet,1
unlike,1
tilde,1
ing,1
lia,1
dont,1
licenses,1
charles,1
v120893,1
personae,1
duke,55
hereford,26
mowbray,30
surrey,7
salisbury,11
favourites,2
ross,18
willoughby,15
bishop,8
pierce,4
woodstock,1
keeper,7
groom,7
nobles,5
boistrous,2
highnessno,1
inveterate,1
accuser,1
ire,1
deaf,2
add,3
miscreant,1
wishso,1
sovereignere,1
boast,3
setting,2
alps,1
pawn,4
degree,3
alive,2
unjustly,1
soonbelieving,1
soars,1
impartial,1
unstooping,1
duly,1
sacrament,3
appeald,1
recreant,4
incision,1
norfolks,1
dishonours,1
spotless,1
chest,1
sue,4
coventry,4
chivalry,2
correction,4
offenders,1
branch,1
crackd,2
hackd,1
cowardice,1
widows,1
champion,2
plashy,3
lodgings,1
majestys,1
comest,3
plated,1
depose,4
daringhardy,1
appointed,1
kiss,7
gord,1
regreet,3
victory,1
furbish,1
amazing,1
adverse,1
chains,1
disloyal,2
courageously,1
